frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
108,3.600,haar,full_frame,0.1937,Happiness,---,---,AMBIGUOUS,---,0.0240,0.1625,0.8456,0.2406,0.2257,0.4358,0.1235,0.001061,IDLE,"27,71,124,181",-0.0712,0.0414
109,3.633,haar,full_frame,0.2054,Happiness,---,---,AMBIGUOUS,---,0.0008,0.1738,0.9062,0.2528,0.2291,0.0179,0.1249,0.001055,IDLE,"26,70,126,182",-0.0861,0.0307
110,3.667,haar,full_frame,0.2130,Happiness,---,---,AMBIGUOUS,---,0.0012,0.1312,0.9240,0.3358,0.2515,1.8727,0.1269,0.001140,IDLE,"26,72,125,183",-0.1401,0.0244
111,3.700,mp,full_frame,0.1982,Happiness,---,---,AMBIGUOUS,---,0.0058,0.1236,0.8887,0.3102,0.2448,0.5781,0.1283,0.001174,IDLE,"26,73,124,185",-0.1196,0.0198
112,3.733,haar,full_frame,0.1448,Happiness,---,---,AMBIGUOUS,---,0.0026,0.0803,0.7726,0.2415,0.2264,0.0213,0.1288,0.001127,IDLE,"26,74,125,186",-0.0591,0.0576
113,3.767,haar,full_frame,0.1759,Happiness,---,---,AMBIGUOUS,---,0.0027,0.0916,0.8608,0.3024,0.2429,0.2311,0.1301,0.001246,IDLE,"26,75,125,187",-0.1065,0.0361
114,3.800,haar,full_frame,0.1933,Happiness,---,---,AMBIGUOUS,---,0.0012,0.0728,0.8391,0.3740,0.2623,0.3971,0.1323,0.001337,IDLE,"26,77,125,188",-0.1448,0.0525
115,3.833,haar,full_frame,0.1603,Happiness,---,---,AMBIGUOUS,---,0.0007,0.1039,0.8794,0.2450,0.2277,0.2958,0.1324,0.001250,IDLE,"26,77,125,189",-0.0377,0.0601
116,3.867,haar,full_frame,0.1392,Happiness,---,---,AMBIGUOUS,---,0.0064,0.0587,0.6659,0.2598,0.2318,0.0006,0.1332,0.001167,IDLE,"26,78,126,190",0.0006,0.1122
117,3.900,haar,full_frame,0.1761,Happiness,---,---,AMBIGUOUS,---,0.0016,0.1543,0.8889,0.2089,0.2181,0.5004,0.1336,0.001006,IDLE,"26,79,127,192",0.0541,0.1415
118,3.933,haar,full_frame,0.1881,Happiness,---,---,AMBIGUOUS,---,0.0019,0.1381,0.8747,0.2631,0.2328,1.2540,0.1349,0.001003,IDLE,"27,79,130,192",-0.0686,0.0285
119,3.967,haar,full_frame,0.1935,Happiness,---,---,AMBIGUOUS,---,0.0010,0.1223,0.8932,0.3005,0.2430,0.1656,0.1361,0.000927,IDLE,"28,80,130,193",-0.0813,0.0359
120,4.000,haar,full_frame,0.1837,Happiness,---,---,AMBIGUOUS,---,0.0016,0.1012,0.8727,0.3073,0.2450,0.1903,0.1378,0.000952,IDLE,"29,79,131,194",-0.0982,0.0165
121,4.033,haar,full_frame,0.1882,Happiness,---,---,AMBIGUOUS,---,0.0017,0.1072,0.8900,0.3097,0.2458,0.2330,0.1391,0.001031,IDLE,"31,79,133,194",-0.0898,0.0236
